n,d,n_circuit,n_gen,risk,cost
4,26,16,20,0.0,0.0
4,27,16,20,0.0,0.0
4,28,16,20,0.0,0.0
4,29,16,20,0.0,0.0
4,10,16,30,0.0,0.0
4,11,16,30,0.0,0.0
4,12,16,30,0.0,0.0
4,13,16,30,0.0,0.0
4,14,16,30,0.0,0.0
4,15,16,30,0.0,0.7523799999999999
4,16,16,30,0.0,0.7456099999999999
4,17,16,30,0.0,0.7528800000000001
4,18,16,30,0.0,0.0
4,19,16,30,0.0,0.0
4,20,16,30,0.0,0.0
4,21,16,30,0.0,0.0
4,22,16,30,0.0,0.0
4,23,16,30,0.0,0.0
4,24,16,30,0.0,0.0
4,25,16,30,0.0,0.0
4,26,16,30,0.0,0.0
4,27,16,30,0.0,0.0
4,28,16,30,0.0,0.0
4,29,16,30,0.0,0.0
4,10,16,40,0.0,0.0
4,11,16,40,0.0,0.0
4,12,16,40,0.0,0.0
4,13,16,40,0.0,0.0
4,14,16,40,0.0,0.0
4,15,16,40,0.0,0.7722100000000001
4,16,16,40,0.0,0.80135
4,17,16,40,0.0,0.79925
4,18,16,40,0.0,0.0
4,19,16,40,0.0,0.0
4,20,16,40,0.0,0.0
4,21,16,40,0.0,0.0
4,22,16,40,0.0,0.0
4,23,16,40,0.0,0.0
4,24,16,40,0.0,0.0
4,25,16,40,0.0,0.0
4,26,16,40,0.0,0.0
4,27,16,40,0.0,0.0
4,28,16,40,0.0,0.0
4,29,16,40,0.0,0.0
4,10,16,50,0.0,0.0
4,11,16,50,0.0,0.0
4,12,16,50,0.0,0.0
4,13,16,50,0.0,0.0
4,14,16,50,0.0,0.0
4,15,16,50,0.0,0.7636199999999999
4,16,16,50,0.0,0.78246
4,17,16,50,0.0,0.8430500000000001
4,18,16,50,0.0,0.0
4,19,16,50,0.0,0.0
4,20,16,50,0.0,0.0
4,21,16,50,0.0,0.0
4,22,16,50,0.0,0.0
4,23,16,50,0.0,0.0
4,24,16,50,0.0,0.0
4,25,16,50,0.0,0.0
4,26,16,50,0.0,0.0
4,27,16,50,0.0,0.0
4,28,16,50,0.0,0.0
4,29,16,50,0.0,0.0
4,10,32,10,0.0,0.0
4,11,32,10,0.0,0.0
4,12,32,10,0.0,0.0
4,13,32,10,0.0,0.0
4,14,32,10,0.0,0.0
4,15,32,10,0.0,0.77779
4,16,32,10,0.0,0.78844
4,17,32,10,0.0,0.79729
4,18,32,10,0.0,0.0
4,19,32,10,0.0,0.0
4,20,32,10,0.0,0.0
4,21,32,10,0.0,0.0
4,22,32,10,0.0,0.0
4,23,32,10,0.0,0.0
4,24,32,10,0.0,0.0
4,25,32,10,0.0,0.0
4,26,32,10,0.0,0.0
4,27,32,10,0.0,0.0
4,28,32,10,0.0,0.0
4,29,32,10,0.0,0.0
4,10,32,20,0.0,0.0
4,11,32,20,0.0,0.0
4,12,32,20,0.0,0.0
4,13,32,20,0.0,0.0
4,14,32,20,0.0,0.0
4,15,32,20,0.0,0.73519
4,16,32,20,0.0,0.77025
4,17,32,20,0.0,0.7792299999999999
4,18,32,20,0.0,0.0
4,19,32,20,0.0,0.0
4,20,32,20,0.0,0.0
4,21,32,20,0.0,0.0
4,22,32,20,0.0,0.0
4,23,32,20,0.0,0.0
4,24,32,20,0.0,0.0
4,25,32,20,0.0,0.0
4,26,32,20,0.0,0.0
4,27,32,20,0.0,0.0
4,28,32,20,0.0,0.0
4,29,32,20,0.0,0.0
4,10,32,30,0.0,0.0
4,11,32,30,0.0,0.0
4,12,32,30,0.0,0.0
4,13,32,30,0.0,0.0
4,14,32,30,0.0,0.0
4,15,32,30,0.0,0.7640800000000001
4,16,32,30,0.0,0.7798
4,17,32,30,0.0,0.0
4,18,32,30,0.0,0.0
4,19,32,30,0.0,0.0
4,20,32,30,0.0,0.0
4,21,32,30,0.0,0.0
4,22,32,30,0.0,0.0
4,23,32,30,0.0,0.0
4,24,32,30,0.0,0.0
4,25,32,30,0.0,0.0
4,26,32,30,0.0,0.0
4,27,32,30,0.0,0.0
4,28,32,30,0.0,0.0
4,29,32,30,0.0,0.0
4,10,32,40,0.0,0.0
4,11,32,40,0.0,0.0
4,12,32,40,0.0,0.0
4,13,32,40,0.0,0.0
4,14,32,40,0.0,0.0
4,15,32,40,0.0,0.7945499999999999
4,16,32,40,0.0,0.78524
4,17,32,40,0.0,0.808
4,18,32,40,0.0,0.0
4,19,32,40,0.0,0.0
4,20,32,40,0.0,0.0
4,21,32,40,0.0,0.0
4,22,32,40,0.0,0.0
4,23,32,40,0.0,0.0
4,24,32,40,0.0,0.0
4,25,32,40,0.0,0.0
4,26,32,40,0.0,0.0
4,27,32,40,0.0,0.0
4,28,32,40,0.0,0.0
4,29,32,40,0.0,0.0
4,10,32,50,0.0,0.0
4,11,32,50,0.0,0.0
4,12,32,50,0.0,0.0
4,13,32,50,0.0,0.0
4,14,32,50,0.0,0.0
4,15,32,50,0.0,0.76196
4,16,32,50,0.0,0.76579
4,17,32,50,0.0,0.7807199999999999
4,18,32,50,0.0,0.0
4,19,32,50,0.0,0.0
4,20,32,50,0.0,0.0
4,21,32,50,0.0,0.0
4,22,32,50,0.0,0.0
4,23,32,50,0.0,0.0
4,24,32,50,0.0,0.0
4,25,32,50,0.0,0.0
4,26,32,50,0.0,0.0
4,27,32,50,0.0,0.0
4,28,32,50,0.0,0.0
4,29,32,50,0.0,0.0
5,20,4,10,0.0,0.0
5,21,4,10,0.0,0.0
5,22,4,10,0.0,0.0
5,23,4,10,0.0,0.0
5,24,4,10,0.0,0.0
5,25,4,10,0.0,0.0
5,26,4,10,0.0,0.0
5,27,4,10,0.0,0.0
5,28,4,10,0.0,0.0
5,29,4,10,0.0,0.0
5,30,4,10,0.0,0.0
5,31,4,10,0.0,0.0
5,32,4,10,0.0,0.0
5,33,4,10,0.0,0.0
5,34,4,10,0.0,0.0
5,35,4,10,0.0,0.0
5,36,4,10,0.0,0.0
5,37,4,10,0.0,0.0
5,38,4,10,0.0,0.0
5,39,4,10,0.0,0.0
5,40,4,10,0.0,0.0
5,41,4,10,0.0,0.0
5,42,4,10,0.0,0.0
5,43,4,10,0.0,0.0
5,44,4,10,0.0,0.0
5,45,4,10,0.0,0.0
5,46,4,10,0.0,0.0
5,47,4,10,0.0,0.0
5,48,4,10,0.0,0.0
5,49,4,10,0.0,0.0
5,20,4,20,0.0,0.0
5,21,4,20,0.0,0.0
5,22,4,20,0.0,0.0
5,23,4,20,0.0,0.0
5,24,4,20,0.0,0.0
5,25,4,20,0.0,0.0
5,26,4,20,0.0,0.0
5,27,4,20,0.0,0.0
5,28,4,20,0.0,0.0
5,29,4,20,0.0,0.0
5,30,4,20,0.0,0.0
5,31,4,20,0.0,0.0
5,32,4,20,0.0,0.0
5,33,4,20,0.0,0.0
5,34,4,20,0.0,0.0
5,35,4,20,0.0,0.0
5,36,4,20,0.0,0.0
5,37,4,20,0.0,0.0
5,38,4,20,0.0,0.0
5,39,4,20,0.0,0.0
5,40,4,20,0.0,0.0
5,41,4,20,0.0,0.0
5,42,4,20,0.0,0.0
5,43,4,20,0.0,0.0
5,44,4,20,0.0,0.0
5,45,4,20,0.0,0.0
5,46,4,20,0.0,0.0
5,47,4,20,0.0,0.0
5,48,4,20,0.0,0.0
5,49,4,20,0.0,0.0
5,20,4,30,0.0,0.0
5,21,4,30,0.0,0.0
5,22,4,30,0.0,0.0
5,23,4,30,0.0,0.0
5,24,4,30,0.0,0.0
5,25,4,30,0.0,0.0
5,26,4,30,0.0,0.0
5,27,4,30,0.0,0.0
5,28,4,30,0.0,0.0
5,29,4,30,0.0,0.0
5,30,4,30,0.0,0.0
5,31,4,30,0.0,0.0
5,32,4,30,0.0,0.0
5,33,4,30,0.0,0.0
5,34,4,30,0.0,0.0
5,35,4,30,0.0,0.0
5,36,4,30,0.0,0.0
5,37,4,30,0.0,0.0
5,38,4,30,0.0,0.0
5,39,4,30,0.0,0.0
5,40,4,30,0.0,0.0
5,41,4,30,0.0,0.0
5,42,4,30,0.0,0.0
5,43,4,30,0.0,0.0
5,44,4,30,0.0,0.0
5,45,4,30,0.0,0.0
5,46,4,30,0.0,0.0
